3	 & 	3	 & 	3	 & 	3	 & 	22	 & 	1	 & 	17	 & 	22	 & 	5	 & 	5	 & 	22.0%	 & 	Flits:1030	 & 	1530	 & 	620	 & 	40.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	26	 & 	1	 & 	16	 & 	26	 & 	5	 & 	10	 & 	38.0%	 & 	Flits:1030	 & 	1890	 & 	1260	 & 	66.0%	 & 	\\ 
104	 & 	5	 & 	104	 & 	5	 & 	235	 & 	15	 & 	14	 & 	25	 & 	8	 & 	11	 & 	44.0%	 & 	Flits:1030	 & 	1920	 & 	1410	 & 	73.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	135	 & 	9	 & 	14	 & 	25	 & 	8	 & 	11	 & 	44.0%	 & 	Flits:1030	 & 	1920	 & 	1500	 & 	78.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	26	 & 	1	 & 	17	 & 	26	 & 	8	 & 	9	 & 	34.0%	 & 	Flits:1030	 & 	1890	 & 	1170	 & 	61.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	126	 & 	8	 & 	17	 & 	26	 & 	8	 & 	9	 & 	34.0%	 & 	Flits:1030	 & 	1930	 & 	1390	 & 	72.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	125	 & 	8	 & 	15	 & 	25	 & 	9	 & 	10	 & 	40.0%	 & 	Flits:1030	 & 	1920	 & 	1500	 & 	78.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	27	 & 	1	 & 	17	 & 	27	 & 	7	 & 	10	 & 	37.0%	 & 	Flits:1030	 & 	2080	 & 	1460	 & 	70.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	126	 & 	8	 & 	16	 & 	26	 & 	7	 & 	10	 & 	38.0%	 & 	Flits:1030	 & 	1930	 & 	1230	 & 	63.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	22	 & 	1	 & 	16	 & 	22	 & 	3	 & 	6	 & 	27.0%	 & 	Flits:1030	 & 	1530	 & 	790	 & 	51.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	135	 & 	9	 & 	13	 & 	25	 & 	9	 & 	12	 & 	48.0%	 & 	Flits:1030	 & 	1920	 & 	1700	 & 	88.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	125	 & 	8	 & 	17	 & 	25	 & 	7	 & 	8	 & 	32.0%	 & 	Flits:1030	 & 	1920	 & 	1100	 & 	57.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	25	 & 	1	 & 	16	 & 	25	 & 	8	 & 	9	 & 	36.0%	 & 	Flits:1030	 & 	1920	 & 	1320	 & 	68.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	26	 & 	1	 & 	16	 & 	26	 & 	8	 & 	10	 & 	38.0%	 & 	Flits:1030	 & 	1930	 & 	1490	 & 	77.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	26	 & 	1	 & 	16	 & 	26	 & 	6	 & 	10	 & 	38.0%	 & 	Flits:1030	 & 	1890	 & 	1270	 & 	67.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	25	 & 	1	 & 	20	 & 	25	 & 	4	 & 	5	 & 	20.0%	 & 	Flits:1030	 & 	1920	 & 	680	 & 	35.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	25	 & 	1	 & 	16	 & 	25	 & 	8	 & 	9	 & 	36.0%	 & 	Flits:1030	 & 	1920	 & 	1320	 & 	68.0%	 & 	\\ 
104	 & 	5	 & 	104	 & 	5	 & 	235	 & 	15	 & 	14	 & 	25	 & 	8	 & 	11	 & 	44.0%	 & 	Flits:1030	 & 	1920	 & 	1410	 & 	73.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	125	 & 	8	 & 	17	 & 	25	 & 	7	 & 	8	 & 	32.0%	 & 	Flits:1030	 & 	1920	 & 	1100	 & 	57.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	22	 & 	1	 & 	17	 & 	22	 & 	4	 & 	5	 & 	22.0%	 & 	Flits:1030	 & 	1530	 & 	700	 & 	45.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	125	 & 	8	 & 	15	 & 	25	 & 	9	 & 	10	 & 	40.0%	 & 	Flits:1030	 & 	1920	 & 	1430	 & 	74.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	126	 & 	8	 & 	16	 & 	26	 & 	7	 & 	10	 & 	38.0%	 & 	Flits:1030	 & 	1930	 & 	1230	 & 	63.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	25	 & 	1	 & 	18	 & 	25	 & 	6	 & 	7	 & 	28.0%	 & 	Flits:1030	 & 	1920	 & 	990	 & 	51.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	126	 & 	8	 & 	17	 & 	26	 & 	8	 & 	9	 & 	34.0%	 & 	Flits:1030	 & 	1930	 & 	1300	 & 	67.0%	 & 	\\ 
2	 & 	2	 & 	2	 & 	2	 & 	21	 & 	1	 & 	17	 & 	21	 & 	4	 & 	4	 & 	19.0%	 & 	Flits:1030	 & 	1520	 & 	690	 & 	45.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	125	 & 	8	 & 	17	 & 	25	 & 	7	 & 	8	 & 	32.0%	 & 	Flits:1030	 & 	1920	 & 	1100	 & 	57.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	125	 & 	8	 & 	15	 & 	25	 & 	9	 & 	10	 & 	40.0%	 & 	Flits:1030	 & 	1920	 & 	1500	 & 	78.0%	 & 	\\ 
102	 & 	3	 & 	13	 & 	4	 & 	136	 & 	9	 & 	14	 & 	26	 & 	8	 & 	12	 & 	46.0%	 & 	Flits:1030	 & 	1930	 & 	1510	 & 	78.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	125	 & 	8	 & 	16	 & 	25	 & 	8	 & 	9	 & 	36.0%	 & 	Flits:1030	 & 	1920	 & 	1390	 & 	72.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	25	 & 	1	 & 	20	 & 	25	 & 	4	 & 	5	 & 	20.0%	 & 	Flits:1030	 & 	1920	 & 	680	 & 	35.0%	 & 	\\ 
