101	 & 	2	 & 	2	 & 	2	 & 	118	 & 	7	 & 	13	 & 	18	 & 	4	 & 	5	 & 	27.0%	 & 	Flits:1500	 & 	1800	 & 	900	 & 	50.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	118	 & 	7	 & 	15	 & 	18	 & 	2	 & 	3	 & 	16.0%	 & 	Flits:1500	 & 	1800	 & 	500	 & 	27.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	218	 & 	14	 & 	12	 & 	18	 & 	6	 & 	6	 & 	33.0%	 & 	Flits:1500	 & 	1800	 & 	1200	 & 	66.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	218	 & 	14	 & 	12	 & 	18	 & 	6	 & 	6	 & 	33.0%	 & 	Flits:1500	 & 	1800	 & 	1200	 & 	66.0%	 & 	\\ 
101	 & 	2	 & 	2	 & 	2	 & 	218	 & 	14	 & 	14	 & 	18	 & 	4	 & 	4	 & 	22.0%	 & 	Flits:1500	 & 	1800	 & 	800	 & 	44.0%	 & 	\\ 
2	 & 	2	 & 	2	 & 	2	 & 	18	 & 	1	 & 	15	 & 	18	 & 	2	 & 	3	 & 	16.0%	 & 	Flits:1500	 & 	1800	 & 	500	 & 	27.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	218	 & 	14	 & 	13	 & 	18	 & 	4	 & 	5	 & 	27.0%	 & 	Flits:1500	 & 	1800	 & 	900	 & 	50.0%	 & 	\\ 
101	 & 	2	 & 	2	 & 	2	 & 	118	 & 	7	 & 	14	 & 	18	 & 	4	 & 	4	 & 	22.0%	 & 	Flits:1500	 & 	1800	 & 	800	 & 	44.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	118	 & 	7	 & 	15	 & 	18	 & 	2	 & 	3	 & 	16.0%	 & 	Flits:1500	 & 	1800	 & 	500	 & 	27.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	118	 & 	7	 & 	14	 & 	18	 & 	4	 & 	4	 & 	22.0%	 & 	Flits:1500	 & 	1800	 & 	800	 & 	44.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	218	 & 	14	 & 	12	 & 	18	 & 	6	 & 	6	 & 	33.0%	 & 	Flits:1500	 & 	1800	 & 	1200	 & 	66.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	218	 & 	14	 & 	12	 & 	18	 & 	6	 & 	6	 & 	33.0%	 & 	Flits:1500	 & 	1800	 & 	1200	 & 	66.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	118	 & 	7	 & 	14	 & 	18	 & 	4	 & 	4	 & 	22.0%	 & 	Flits:1500	 & 	1800	 & 	800	 & 	44.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	218	 & 	14	 & 	12	 & 	18	 & 	6	 & 	6	 & 	33.0%	 & 	Flits:1500	 & 	1800	 & 	1200	 & 	66.0%	 & 	\\ 
101	 & 	2	 & 	2	 & 	2	 & 	118	 & 	7	 & 	16	 & 	18	 & 	2	 & 	2	 & 	11.0%	 & 	Flits:1500	 & 	1800	 & 	400	 & 	22.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	218	 & 	14	 & 	13	 & 	18	 & 	4	 & 	5	 & 	27.0%	 & 	Flits:1500	 & 	1800	 & 	900	 & 	50.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	118	 & 	7	 & 	14	 & 	18	 & 	4	 & 	4	 & 	22.0%	 & 	Flits:1500	 & 	1800	 & 	800	 & 	44.0%	 & 	\\ 
2	 & 	2	 & 	2	 & 	2	 & 	18	 & 	1	 & 	16	 & 	18	 & 	2	 & 	2	 & 	11.0%	 & 	Flits:1500	 & 	1800	 & 	400	 & 	22.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	218	 & 	14	 & 	12	 & 	18	 & 	6	 & 	6	 & 	33.0%	 & 	Flits:1500	 & 	1800	 & 	1200	 & 	66.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	218	 & 	14	 & 	12	 & 	18	 & 	6	 & 	6	 & 	33.0%	 & 	Flits:1500	 & 	1800	 & 	1200	 & 	66.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	218	 & 	14	 & 	13	 & 	18	 & 	4	 & 	5	 & 	27.0%	 & 	Flits:1500	 & 	1800	 & 	900	 & 	50.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	218	 & 	14	 & 	12	 & 	18	 & 	6	 & 	6	 & 	33.0%	 & 	Flits:1500	 & 	1800	 & 	1200	 & 	66.0%	 & 	\\ 
101	 & 	2	 & 	2	 & 	2	 & 	118	 & 	7	 & 	14	 & 	18	 & 	4	 & 	4	 & 	22.0%	 & 	Flits:1500	 & 	1800	 & 	800	 & 	44.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	218	 & 	14	 & 	13	 & 	18	 & 	4	 & 	5	 & 	27.0%	 & 	Flits:1500	 & 	1800	 & 	900	 & 	50.0%	 & 	\\ 
