103	 & 	4	 & 	6	 & 	6	 & 	129	 & 	10	 & 	18	 & 	29	 & 	7	 & 	11	 & 	37.0%	 & 	Flits:1200	 & 	2900	 & 	1800	 & 	62.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	23	 & 	1	 & 	16	 & 	23	 & 	4	 & 	7	 & 	30.0%	 & 	Flits:1200	 & 	2300	 & 	1100	 & 	47.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	22	 & 	1	 & 	15	 & 	22	 & 	6	 & 	7	 & 	31.0%	 & 	Flits:1200	 & 	2200	 & 	1300	 & 	59.0%	 & 	\\ 
101	 & 	2	 & 	4	 & 	4	 & 	121	 & 	10	 & 	15	 & 	21	 & 	4	 & 	6	 & 	28.0%	 & 	Flits:1200	 & 	2100	 & 	1000	 & 	47.0%	 & 	\\ 
6	 & 	6	 & 	6	 & 	6	 & 	29	 & 	2	 & 	16	 & 	29	 & 	9	 & 	13	 & 	44.0%	 & 	Flits:1200	 & 	2900	 & 	2200	 & 	75.0%	 & 	\\ 
104	 & 	5	 & 	6	 & 	6	 & 	129	 & 	10	 & 	16	 & 	29	 & 	9	 & 	13	 & 	44.0%	 & 	Flits:1200	 & 	2900	 & 	2200	 & 	75.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	23	 & 	1	 & 	19	 & 	23	 & 	3	 & 	4	 & 	17.0%	 & 	Flits:1200	 & 	2300	 & 	700	 & 	30.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	24	 & 	2	 & 	16	 & 	24	 & 	7	 & 	8	 & 	33.0%	 & 	Flits:1200	 & 	2400	 & 	1500	 & 	62.0%	 & 	\\ 
101	 & 	2	 & 	2	 & 	2	 & 	117	 & 	9	 & 	13	 & 	17	 & 	3	 & 	4	 & 	23.0%	 & 	Flits:1200	 & 	1700	 & 	700	 & 	41.0%	 & 	\\ 
103	 & 	4	 & 	5	 & 	5	 & 	126	 & 	10	 & 	13	 & 	26	 & 	8	 & 	13	 & 	50.0%	 & 	Flits:1200	 & 	2600	 & 	2100	 & 	80.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	22	 & 	1	 & 	16	 & 	22	 & 	5	 & 	6	 & 	27.0%	 & 	Flits:1200	 & 	2200	 & 	1100	 & 	50.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	28	 & 	2	 & 	19	 & 	28	 & 	8	 & 	9	 & 	32.0%	 & 	Flits:1200	 & 	2800	 & 	1700	 & 	60.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	24	 & 	2	 & 	20	 & 	24	 & 	4	 & 	4	 & 	16.0%	 & 	Flits:1200	 & 	2400	 & 	800	 & 	33.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	20	 & 	1	 & 	14	 & 	20	 & 	5	 & 	6	 & 	30.0%	 & 	Flits:1200	 & 	2000	 & 	1100	 & 	55.0%	 & 	\\ 
104	 & 	5	 & 	104	 & 	5	 & 	124	 & 	10	 & 	16	 & 	24	 & 	5	 & 	8	 & 	33.0%	 & 	Flits:1200	 & 	2400	 & 	1300	 & 	54.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	23	 & 	1	 & 	17	 & 	23	 & 	3	 & 	6	 & 	26.0%	 & 	Flits:1200	 & 	2300	 & 	900	 & 	39.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	23	 & 	1	 & 	15	 & 	23	 & 	5	 & 	8	 & 	34.0%	 & 	Flits:1200	 & 	2300	 & 	1300	 & 	56.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	23	 & 	1	 & 	17	 & 	23	 & 	6	 & 	6	 & 	26.0%	 & 	Flits:1200	 & 	2300	 & 	1200	 & 	52.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	26	 & 	2	 & 	16	 & 	26	 & 	9	 & 	10	 & 	38.0%	 & 	Flits:1200	 & 	2600	 & 	1900	 & 	73.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	26	 & 	2	 & 	22	 & 	26	 & 	3	 & 	4	 & 	15.0%	 & 	Flits:1200	 & 	2600	 & 	700	 & 	26.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	120	 & 	10	 & 	13	 & 	20	 & 	5	 & 	7	 & 	35.0%	 & 	Flits:1200	 & 	2000	 & 	1200	 & 	60.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	25	 & 	2	 & 	17	 & 	25	 & 	6	 & 	8	 & 	32.0%	 & 	Flits:1200	 & 	2500	 & 	1400	 & 	56.0%	 & 	\\ 
6	 & 	6	 & 	6	 & 	6	 & 	29	 & 	2	 & 	18	 & 	29	 & 	8	 & 	11	 & 	37.0%	 & 	Flits:1200	 & 	2900	 & 	1900	 & 	65.0%	 & 	\\ 
102	 & 	3	 & 	6	 & 	6	 & 	126	 & 	10	 & 	12	 & 	26	 & 	9	 & 	14	 & 	53.0%	 & 	Flits:1200	 & 	2600	 & 	2300	 & 	88.0%	 & 	\\ 
