1	 & 	1	 & 	1	 & 	1	 & 	9	 & 	1	 & 	9	 & 	9	 & 	0	 & 	0	 & 	0.0%	 & 	Flits:18000	 & 	18000	 & 	0	 & 	0.0%	 & 	\\ 
1	 & 	1	 & 	1	 & 	1	 & 	9	 & 	1	 & 	9	 & 	9	 & 	0	 & 	0	 & 	0.0%	 & 	Flits:18000	 & 	18000	 & 	0	 & 	0.0%	 & 	\\ 
1	 & 	1	 & 	1	 & 	1	 & 	9	 & 	1	 & 	9	 & 	9	 & 	0	 & 	0	 & 	0.0%	 & 	Flits:18000	 & 	18000	 & 	0	 & 	0.0%	 & 	\\ 
1	 & 	1	 & 	1	 & 	1	 & 	9	 & 	1	 & 	9	 & 	9	 & 	0	 & 	0	 & 	0.0%	 & 	Flits:18000	 & 	18000	 & 	0	 & 	0.0%	 & 	\\ 
1	 & 	1	 & 	1	 & 	1	 & 	9	 & 	1	 & 	9	 & 	9	 & 	0	 & 	0	 & 	0.0%	 & 	Flits:18000	 & 	18000	 & 	0	 & 	0.0%	 & 	\\ 
1	 & 	1	 & 	1	 & 	1	 & 	9	 & 	1	 & 	9	 & 	9	 & 	0	 & 	0	 & 	0.0%	 & 	Flits:18000	 & 	18000	 & 	0	 & 	0.0%	 & 	\\ 
1	 & 	1	 & 	1	 & 	1	 & 	9	 & 	1	 & 	9	 & 	9	 & 	0	 & 	0	 & 	0.0%	 & 	Flits:18000	 & 	18000	 & 	0	 & 	0.0%	 & 	\\ 
1	 & 	1	 & 	1	 & 	1	 & 	9	 & 	1	 & 	9	 & 	9	 & 	0	 & 	0	 & 	0.0%	 & 	Flits:18000	 & 	18000	 & 	0	 & 	0.0%	 & 	\\ 
1	 & 	1	 & 	1	 & 	1	 & 	9	 & 	1	 & 	9	 & 	9	 & 	0	 & 	0	 & 	0.0%	 & 	Flits:18000	 & 	18000	 & 	0	 & 	0.0%	 & 	\\ 
1	 & 	1	 & 	1	 & 	1	 & 	9	 & 	1	 & 	9	 & 	9	 & 	0	 & 	0	 & 	0.0%	 & 	Flits:18000	 & 	18000	 & 	0	 & 	0.0%	 & 	\\ 
1	 & 	1	 & 	1	 & 	1	 & 	9	 & 	1	 & 	9	 & 	9	 & 	0	 & 	0	 & 	0.0%	 & 	Flits:18000	 & 	18000	 & 	0	 & 	0.0%	 & 	\\ 
1	 & 	1	 & 	1	 & 	1	 & 	9	 & 	1	 & 	9	 & 	9	 & 	0	 & 	0	 & 	0.0%	 & 	Flits:18000	 & 	18000	 & 	0	 & 	0.0%	 & 	\\ 
