106	 & 	7	 & 	106	 & 	7	 & 	251	 & 	16	 & 	16	 & 	51	 & 	13	 & 	35	 & 	68.0%	 & 	Flits:1030	 & 	3470	 & 	3170	 & 	91.0%	 & 	\\ 
105	 & 	6	 & 	105	 & 	6	 & 	151	 & 	10	 & 	14	 & 	41	 & 	12	 & 	27	 & 	65.0%	 & 	Flits:1030	 & 	2150	 & 	2060	 & 	95.0%	 & 	\\ 
116	 & 	8	 & 	116	 & 	8	 & 	255	 & 	17	 & 	18	 & 	45	 & 	12	 & 	27	 & 	60.0%	 & 	Flits:1030	 & 	3210	 & 	2720	 & 	84.0%	 & 	\\ 
103	 & 	4	 & 	15	 & 	6	 & 	160	 & 	10	 & 	19	 & 	40	 & 	12	 & 	21	 & 	52.0%	 & 	Flits:1030	 & 	3240	 & 	2630	 & 	81.0%	 & 	\\ 
105	 & 	6	 & 	105	 & 	6	 & 	254	 & 	16	 & 	15	 & 	44	 & 	11	 & 	29	 & 	65.0%	 & 	Flits:1030	 & 	3170	 & 	2790	 & 	88.0%	 & 	\\ 
15	 & 	6	 & 	7	 & 	7	 & 	64	 & 	4	 & 	18	 & 	54	 & 	13	 & 	36	 & 	66.0%	 & 	Flits:1030	 & 	4020	 & 	3610	 & 	89.0%	 & 	\\ 
105	 & 	6	 & 	7	 & 	7	 & 	156	 & 	10	 & 	17	 & 	46	 & 	15	 & 	29	 & 	63.0%	 & 	Flits:1030	 & 	3480	 & 	3280	 & 	94.0%	 & 	\\ 
15	 & 	6	 & 	15	 & 	6	 & 	62	 & 	4	 & 	17	 & 	42	 & 	14	 & 	25	 & 	59.0%	 & 	Flits:1030	 & 	2880	 & 	2600	 & 	90.0%	 & 	\\ 
16	 & 	7	 & 	16	 & 	7	 & 	77	 & 	5	 & 	18	 & 	47	 & 	13	 & 	29	 & 	61.0%	 & 	Flits:1030	 & 	3180	 & 	2880	 & 	90.0%	 & 	\\ 
14	 & 	5	 & 	5	 & 	5	 & 	50	 & 	3	 & 	17	 & 	40	 & 	10	 & 	23	 & 	57.0%	 & 	Flits:1030	 & 	2660	 & 	2410	 & 	90.0%	 & 	\\ 
106	 & 	7	 & 	106	 & 	7	 & 	151	 & 	10	 & 	17	 & 	41	 & 	8	 & 	24	 & 	58.0%	 & 	Flits:1030	 & 	3250	 & 	2620	 & 	80.0%	 & 	\\ 
102	 & 	3	 & 	15	 & 	6	 & 	174	 & 	11	 & 	16	 & 	44	 & 	12	 & 	28	 & 	63.0%	 & 	Flits:1030	 & 	3170	 & 	2860	 & 	90.0%	 & 	\\ 
103	 & 	4	 & 	5	 & 	5	 & 	157	 & 	10	 & 	16	 & 	37	 & 	13	 & 	21	 & 	56.0%	 & 	Flits:1030	 & 	2430	 & 	2130	 & 	87.0%	 & 	\\ 
105	 & 	6	 & 	105	 & 	6	 & 	149	 & 	9	 & 	18	 & 	39	 & 	8	 & 	21	 & 	53.0%	 & 	Flits:1030	 & 	2600	 & 	1690	 & 	65.0%	 & 	\\ 
105	 & 	6	 & 	105	 & 	6	 & 	144	 & 	9	 & 	18	 & 	44	 & 	10	 & 	26	 & 	59.0%	 & 	Flits:1030	 & 	2450	 & 	2100	 & 	85.0%	 & 	\\ 
105	 & 	6	 & 	16	 & 	7	 & 	179	 & 	11	 & 	15	 & 	49	 & 	15	 & 	34	 & 	69.0%	 & 	Flits:1030	 & 	3350	 & 	3350	 & 	100.0%	 & 	\\ 
13	 & 	4	 & 	5	 & 	5	 & 	60	 & 	4	 & 	15	 & 	40	 & 	14	 & 	25	 & 	62.0%	 & 	Flits:1030	 & 	2730	 & 	2630	 & 	96.0%	 & 	\\ 
102	 & 	3	 & 	7	 & 	7	 & 	145	 & 	9	 & 	19	 & 	45	 & 	13	 & 	26	 & 	57.0%	 & 	Flits:1030	 & 	3210	 & 	2700	 & 	84.0%	 & 	\\ 
102	 & 	3	 & 	15	 & 	6	 & 	164	 & 	10	 & 	16	 & 	44	 & 	12	 & 	28	 & 	63.0%	 & 	Flits:1030	 & 	3170	 & 	2860	 & 	90.0%	 & 	\\ 
105	 & 	6	 & 	105	 & 	6	 & 	145	 & 	9	 & 	16	 & 	45	 & 	11	 & 	29	 & 	64.0%	 & 	Flits:1030	 & 	3210	 & 	2730	 & 	85.0%	 & 	\\ 
15	 & 	6	 & 	15	 & 	6	 & 	51	 & 	3	 & 	18	 & 	41	 & 	13	 & 	23	 & 	56.0%	 & 	Flits:1030	 & 	3050	 & 	2640	 & 	86.0%	 & 	\\ 
16	 & 	7	 & 	16	 & 	7	 & 	67	 & 	4	 & 	18	 & 	47	 & 	13	 & 	29	 & 	61.0%	 & 	Flits:1030	 & 	3180	 & 	2950	 & 	92.0%	 & 	\\ 
105	 & 	6	 & 	105	 & 	6	 & 	170	 & 	11	 & 	15	 & 	50	 & 	12	 & 	35	 & 	70.0%	 & 	Flits:1030	 & 	3500	 & 	3290	 & 	94.0%	 & 	\\ 
104	 & 	5	 & 	104	 & 	5	 & 	250	 & 	16	 & 	19	 & 	40	 & 	10	 & 	21	 & 	52.0%	 & 	Flits:1030	 & 	2660	 & 	1940	 & 	72.0%	 & 	\\ 
104	 & 	5	 & 	15	 & 	6	 & 	164	 & 	10	 & 	16	 & 	44	 & 	13	 & 	28	 & 	63.0%	 & 	Flits:1030	 & 	3110	 & 	2830	 & 	90.0%	 & 	\\ 
102	 & 	3	 & 	15	 & 	6	 & 	164	 & 	10	 & 	16	 & 	44	 & 	12	 & 	28	 & 	63.0%	 & 	Flits:1030	 & 	3170	 & 	2860	 & 	90.0%	 & 	\\ 
202	 & 	4	 & 	25	 & 	7	 & 	256	 & 	17	 & 	16	 & 	36	 & 	8	 & 	20	 & 	55.0%	 & 	Flits:1030	 & 	2390	 & 	1860	 & 	77.0%	 & 	\\ 
104	 & 	5	 & 	6	 & 	6	 & 	245	 & 	16	 & 	16	 & 	35	 & 	11	 & 	19	 & 	54.0%	 & 	Flits:1030	 & 	2560	 & 	2060	 & 	80.0%	 & 	\\ 
102	 & 	3	 & 	16	 & 	7	 & 	173	 & 	11	 & 	15	 & 	43	 & 	11	 & 	28	 & 	65.0%	 & 	Flits:1030	 & 	3020	 & 	2620	 & 	86.0%	 & 	\\ 
25	 & 	7	 & 	25	 & 	7	 & 	81	 & 	5	 & 	16	 & 	41	 & 	14	 & 	25	 & 	60.0%	 & 	Flits:1030	 & 	2730	 & 	2620	 & 	95.0%	 & 	\\ 
