101	 & 	2	 & 	4	 & 	4	 & 	124	 & 	8	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2440	 & 	59.0%	 & 	\\ 
502	 & 	4	 & 	502	 & 	4	 & 	524	 & 	37	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2440	 & 	59.0%	 & 	\\ 
102	 & 	4	 & 	4	 & 	4	 & 	224	 & 	16	 & 	15	 & 	24	 & 	5	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	1940	 & 	46.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	134	 & 	9	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2530	 & 	61.0%	 & 	\\ 
201	 & 	3	 & 	4	 & 	4	 & 	324	 & 	23	 & 	14	 & 	24	 & 	6	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2590	 & 	62.0%	 & 	\\ 
111	 & 	3	 & 	4	 & 	4	 & 	234	 & 	16	 & 	14	 & 	24	 & 	6	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2680	 & 	64.0%	 & 	\\ 
201	 & 	3	 & 	4	 & 	4	 & 	224	 & 	16	 & 	15	 & 	24	 & 	7	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2590	 & 	62.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	24	 & 	1	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2530	 & 	61.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	134	 & 	9	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2530	 & 	61.0%	 & 	\\ 
412	 & 	4	 & 	4	 & 	4	 & 	534	 & 	38	 & 	14	 & 	24	 & 	6	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2590	 & 	62.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	244	 & 	17	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2440	 & 	59.0%	 & 	\\ 
201	 & 	3	 & 	4	 & 	4	 & 	224	 & 	16	 & 	15	 & 	24	 & 	5	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2040	 & 	49.0%	 & 	\\ 
12	 & 	3	 & 	4	 & 	4	 & 	44	 & 	3	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2440	 & 	59.0%	 & 	\\ 
412	 & 	4	 & 	4	 & 	4	 & 	534	 & 	38	 & 	14	 & 	24	 & 	6	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2590	 & 	62.0%	 & 	\\ 
502	 & 	4	 & 	4	 & 	4	 & 	524	 & 	37	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2440	 & 	59.0%	 & 	\\ 
502	 & 	4	 & 	502	 & 	4	 & 	624	 & 	44	 & 	14	 & 	24	 & 	6	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2680	 & 	64.0%	 & 	\\ 
201	 & 	3	 & 	4	 & 	4	 & 	324	 & 	23	 & 	14	 & 	24	 & 	6	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2590	 & 	62.0%	 & 	\\ 
412	 & 	4	 & 	4	 & 	4	 & 	534	 & 	38	 & 	14	 & 	24	 & 	6	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2590	 & 	62.0%	 & 	\\ 
201	 & 	3	 & 	4	 & 	4	 & 	324	 & 	23	 & 	14	 & 	24	 & 	6	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2590	 & 	62.0%	 & 	\\ 
112	 & 	4	 & 	4	 & 	4	 & 	244	 & 	17	 & 	15	 & 	24	 & 	5	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2130	 & 	51.0%	 & 	\\ 
502	 & 	4	 & 	4	 & 	4	 & 	624	 & 	44	 & 	14	 & 	24	 & 	6	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2680	 & 	64.0%	 & 	\\ 
111	 & 	3	 & 	4	 & 	4	 & 	134	 & 	9	 & 	15	 & 	24	 & 	7	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2500	 & 	60.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	244	 & 	17	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2440	 & 	59.0%	 & 	\\ 
502	 & 	4	 & 	4	 & 	4	 & 	524	 & 	37	 & 	15	 & 	24	 & 	7	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2500	 & 	60.0%	 & 	\\ 
111	 & 	3	 & 	14	 & 	5	 & 	144	 & 	10	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2440	 & 	59.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	24	 & 	1	 & 	13	 & 	24	 & 	7	 & 	11	 & 	45.0%	 & 	Flits:3100	 & 	4130	 & 	2890	 & 	69.0%	 & 	\\ 
104	 & 	5	 & 	104	 & 	5	 & 	224	 & 	16	 & 	14	 & 	24	 & 	6	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2680	 & 	64.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	24	 & 	1	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2440	 & 	59.0%	 & 	\\ 
201	 & 	3	 & 	4	 & 	4	 & 	224	 & 	16	 & 	15	 & 	24	 & 	5	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2040	 & 	49.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	24	 & 	1	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2440	 & 	59.0%	 & 	\\ 
