5	 & 	5	 & 	5	 & 	5	 & 	21	 & 	2	 & 	12	 & 	21	 & 	7	 & 	9	 & 	42.0%	 & 	Flits:9000	 & 	21000	 & 	16000	 & 	76.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	1021	 & 	113	 & 	12	 & 	21	 & 	5	 & 	9	 & 	42.0%	 & 	Flits:9000	 & 	21000	 & 	14000	 & 	66.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	23	 & 	2	 & 	15	 & 	23	 & 	4	 & 	8	 & 	34.0%	 & 	Flits:9000	 & 	23000	 & 	12000	 & 	52.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	11	 & 	19	 & 	5	 & 	8	 & 	42.0%	 & 	Flits:9000	 & 	19000	 & 	13000	 & 	68.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	11	 & 	19	 & 	5	 & 	8	 & 	42.0%	 & 	Flits:9000	 & 	19000	 & 	13000	 & 	68.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	23	 & 	2	 & 	13	 & 	23	 & 	8	 & 	10	 & 	43.0%	 & 	Flits:9000	 & 	23000	 & 	18000	 & 	78.0%	 & 	\\ 
1001	 & 	2	 & 	3	 & 	3	 & 	1017	 & 	113	 & 	11	 & 	17	 & 	4	 & 	6	 & 	35.0%	 & 	Flits:9000	 & 	17000	 & 	10000	 & 	58.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	21	 & 	2	 & 	11	 & 	21	 & 	8	 & 	10	 & 	47.0%	 & 	Flits:9000	 & 	21000	 & 	18000	 & 	85.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	12	 & 	19	 & 	4	 & 	7	 & 	36.0%	 & 	Flits:9000	 & 	19000	 & 	11000	 & 	57.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	11	 & 	19	 & 	6	 & 	8	 & 	42.0%	 & 	Flits:9000	 & 	19000	 & 	14000	 & 	73.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	21	 & 	2	 & 	12	 & 	21	 & 	7	 & 	9	 & 	42.0%	 & 	Flits:9000	 & 	21000	 & 	16000	 & 	76.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	1021	 & 	113	 & 	12	 & 	21	 & 	4	 & 	9	 & 	42.0%	 & 	Flits:9000	 & 	21000	 & 	13000	 & 	61.0%	 & 	\\ 
1001	 & 	2	 & 	3	 & 	3	 & 	1019	 & 	113	 & 	11	 & 	19	 & 	6	 & 	8	 & 	42.0%	 & 	Flits:9000	 & 	19000	 & 	14000	 & 	73.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	17	 & 	1	 & 	11	 & 	17	 & 	4	 & 	6	 & 	35.0%	 & 	Flits:9000	 & 	17000	 & 	10000	 & 	58.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	1019	 & 	113	 & 	9	 & 	19	 & 	5	 & 	10	 & 	52.0%	 & 	Flits:9000	 & 	19000	 & 	15000	 & 	78.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	21	 & 	2	 & 	12	 & 	21	 & 	6	 & 	9	 & 	42.0%	 & 	Flits:9000	 & 	21000	 & 	15000	 & 	71.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	14	 & 	19	 & 	4	 & 	5	 & 	26.0%	 & 	Flits:9000	 & 	19000	 & 	9000	 & 	47.0%	 & 	\\ 
1003	 & 	4	 & 	5	 & 	5	 & 	1025	 & 	113	 & 	15	 & 	25	 & 	4	 & 	10	 & 	40.0%	 & 	Flits:9000	 & 	25000	 & 	14000	 & 	56.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	23	 & 	2	 & 	16	 & 	23	 & 	4	 & 	7	 & 	30.0%	 & 	Flits:9000	 & 	23000	 & 	11000	 & 	47.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	21	 & 	2	 & 	12	 & 	21	 & 	5	 & 	9	 & 	42.0%	 & 	Flits:9000	 & 	21000	 & 	14000	 & 	66.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	12	 & 	19	 & 	5	 & 	7	 & 	36.0%	 & 	Flits:9000	 & 	19000	 & 	12000	 & 	63.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	10	 & 	19	 & 	4	 & 	9	 & 	47.0%	 & 	Flits:9000	 & 	19000	 & 	13000	 & 	68.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	10	 & 	19	 & 	6	 & 	9	 & 	47.0%	 & 	Flits:9000	 & 	19000	 & 	15000	 & 	78.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	21	 & 	2	 & 	11	 & 	21	 & 	8	 & 	10	 & 	47.0%	 & 	Flits:9000	 & 	21000	 & 	18000	 & 	85.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	10	 & 	19	 & 	5	 & 	9	 & 	47.0%	 & 	Flits:9000	 & 	19000	 & 	14000	 & 	73.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	11	 & 	19	 & 	5	 & 	8	 & 	42.0%	 & 	Flits:9000	 & 	19000	 & 	13000	 & 	68.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	14	 & 	19	 & 	3	 & 	5	 & 	26.0%	 & 	Flits:9000	 & 	19000	 & 	8000	 & 	42.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	25	 & 	2	 & 	15	 & 	25	 & 	8	 & 	10	 & 	40.0%	 & 	Flits:9000	 & 	25000	 & 	18000	 & 	72.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	21	 & 	2	 & 	10	 & 	21	 & 	7	 & 	11	 & 	52.0%	 & 	Flits:9000	 & 	21000	 & 	18000	 & 	85.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	21	 & 	2	 & 	14	 & 	21	 & 	4	 & 	7	 & 	33.0%	 & 	Flits:9000	 & 	21000	 & 	11000	 & 	52.0%	 & 	\\ 
