3	 & 	3	 & 	3	 & 	3	 & 	22	 & 	1	 & 	17	 & 	22	 & 	4	 & 	5	 & 	22.0%	 & 	Flits:1030	 & 	1530	 & 	610	 & 	39.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	26	 & 	1	 & 	16	 & 	26	 & 	5	 & 	10	 & 	38.0%	 & 	Flits:1030	 & 	1890	 & 	1260	 & 	66.0%	 & 	\\ 
104	 & 	5	 & 	104	 & 	5	 & 	235	 & 	15	 & 	15	 & 	25	 & 	7	 & 	10	 & 	40.0%	 & 	Flits:1030	 & 	1920	 & 	1230	 & 	64.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	135	 & 	9	 & 	16	 & 	25	 & 	6	 & 	9	 & 	36.0%	 & 	Flits:1030	 & 	1920	 & 	1120	 & 	58.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	26	 & 	1	 & 	18	 & 	26	 & 	6	 & 	8	 & 	30.0%	 & 	Flits:1030	 & 	1890	 & 	1090	 & 	57.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	126	 & 	8	 & 	17	 & 	26	 & 	8	 & 	9	 & 	34.0%	 & 	Flits:1030	 & 	1930	 & 	1390	 & 	72.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	125	 & 	8	 & 	16	 & 	25	 & 	8	 & 	9	 & 	36.0%	 & 	Flits:1030	 & 	1920	 & 	1300	 & 	67.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	27	 & 	1	 & 	18	 & 	27	 & 	7	 & 	9	 & 	33.0%	 & 	Flits:1030	 & 	2080	 & 	1360	 & 	65.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	126	 & 	8	 & 	17	 & 	26	 & 	7	 & 	9	 & 	34.0%	 & 	Flits:1030	 & 	1930	 & 	1290	 & 	66.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	22	 & 	1	 & 	17	 & 	22	 & 	3	 & 	5	 & 	22.0%	 & 	Flits:1030	 & 	1530	 & 	690	 & 	45.0%	 & 	\\ 
104	 & 	5	 & 	104	 & 	5	 & 	235	 & 	15	 & 	14	 & 	25	 & 	6	 & 	11	 & 	44.0%	 & 	Flits:1030	 & 	1920	 & 	1320	 & 	68.0%	 & 	\\ 
