702	 & 	4	 & 	4	 & 	4	 & 	844	 & 	60	 & 	14	 & 	24	 & 	6	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2590	 & 	62.0%	 & 	\\ 
412	 & 	4	 & 	4	 & 	4	 & 	534	 & 	38	 & 	14	 & 	24	 & 	6	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2590	 & 	62.0%	 & 	\\ 
112	 & 	4	 & 	4	 & 	4	 & 	344	 & 	24	 & 	14	 & 	24	 & 	5	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2190	 & 	53.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	244	 & 	17	 & 	15	 & 	24	 & 	6	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2140	 & 	51.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	24	 & 	1	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2440	 & 	59.0%	 & 	\\ 
102	 & 	3	 & 	22	 & 	4	 & 	274	 & 	19	 & 	14	 & 	24	 & 	5	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2280	 & 	55.0%	 & 	\\ 
101	 & 	2	 & 	4	 & 	4	 & 	164	 & 	11	 & 	13	 & 	24	 & 	7	 & 	11	 & 	45.0%	 & 	Flits:3100	 & 	4130	 & 	2980	 & 	72.0%	 & 	\\ 
202	 & 	4	 & 	202	 & 	4	 & 	344	 & 	24	 & 	15	 & 	24	 & 	5	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2040	 & 	49.0%	 & 	\\ 
201	 & 	3	 & 	4	 & 	4	 & 	224	 & 	16	 & 	15	 & 	24	 & 	5	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2040	 & 	49.0%	 & 	\\ 
111	 & 	3	 & 	4	 & 	4	 & 	134	 & 	9	 & 	16	 & 	24	 & 	6	 & 	8	 & 	33.0%	 & 	Flits:3100	 & 	4130	 & 	2130	 & 	51.0%	 & 	\\ 
612	 & 	4	 & 	4	 & 	4	 & 	844	 & 	60	 & 	15	 & 	24	 & 	4	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	1980	 & 	47.0%	 & 	\\ 
101	 & 	2	 & 	4	 & 	4	 & 	164	 & 	11	 & 	13	 & 	24	 & 	7	 & 	11	 & 	45.0%	 & 	Flits:3100	 & 	4130	 & 	2980	 & 	72.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	24	 & 	1	 & 	15	 & 	24	 & 	6	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2230	 & 	53.0%	 & 	\\ 
202	 & 	4	 & 	4	 & 	4	 & 	334	 & 	23	 & 	15	 & 	24	 & 	5	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	1740	 & 	42.0%	 & 	\\ 
112	 & 	4	 & 	112	 & 	4	 & 	254	 & 	18	 & 	15	 & 	24	 & 	5	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2380	 & 	57.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	254	 & 	18	 & 	14	 & 	24	 & 	6	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2590	 & 	62.0%	 & 	\\ 
101	 & 	2	 & 	4	 & 	4	 & 	124	 & 	8	 & 	15	 & 	24	 & 	6	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2140	 & 	51.0%	 & 	\\ 
612	 & 	4	 & 	612	 & 	4	 & 	754	 & 	53	 & 	15	 & 	24	 & 	4	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	1980	 & 	47.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	274	 & 	19	 & 	14	 & 	24	 & 	5	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2280	 & 	55.0%	 & 	\\ 
112	 & 	4	 & 	4	 & 	4	 & 	344	 & 	24	 & 	15	 & 	24	 & 	4	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	1980	 & 	47.0%	 & 	\\ 
612	 & 	4	 & 	4	 & 	4	 & 	844	 & 	60	 & 	15	 & 	24	 & 	4	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	1980	 & 	47.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	24	 & 	1	 & 	13	 & 	24	 & 	7	 & 	11	 & 	45.0%	 & 	Flits:3100	 & 	4130	 & 	2980	 & 	72.0%	 & 	\\ 
112	 & 	4	 & 	4	 & 	4	 & 	344	 & 	24	 & 	15	 & 	24	 & 	4	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	1980	 & 	47.0%	 & 	\\ 
612	 & 	4	 & 	612	 & 	4	 & 	754	 & 	53	 & 	13	 & 	24	 & 	5	 & 	11	 & 	45.0%	 & 	Flits:3100	 & 	4130	 & 	2780	 & 	67.0%	 & 	\\ 
612	 & 	4	 & 	612	 & 	4	 & 	654	 & 	46	 & 	15	 & 	24	 & 	5	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2040	 & 	49.0%	 & 	\\ 
612	 & 	4	 & 	612	 & 	4	 & 	754	 & 	53	 & 	14	 & 	24	 & 	6	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2590	 & 	62.0%	 & 	\\ 
201	 & 	3	 & 	4	 & 	4	 & 	224	 & 	16	 & 	15	 & 	24	 & 	5	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2040	 & 	49.0%	 & 	\\ 
201	 & 	3	 & 	4	 & 	4	 & 	224	 & 	16	 & 	16	 & 	24	 & 	5	 & 	8	 & 	33.0%	 & 	Flits:3100	 & 	4130	 & 	2030	 & 	49.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	244	 & 	17	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2440	 & 	59.0%	 & 	\\ 
101	 & 	2	 & 	4	 & 	4	 & 	124	 & 	8	 & 	15	 & 	24	 & 	6	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2140	 & 	51.0%	 & 	\\ 
