103	 & 	4	 & 	6	 & 	6	 & 	129	 & 	10	 & 	20	 & 	29	 & 	6	 & 	9	 & 	31.0%	 & 	Flits:1200	 & 	2900	 & 	1500	 & 	51.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	23	 & 	1	 & 	16	 & 	23	 & 	4	 & 	7	 & 	30.0%	 & 	Flits:1200	 & 	2300	 & 	1100	 & 	47.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	22	 & 	1	 & 	15	 & 	22	 & 	6	 & 	7	 & 	31.0%	 & 	Flits:1200	 & 	2200	 & 	1300	 & 	59.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	21	 & 	1	 & 	16	 & 	21	 & 	3	 & 	5	 & 	23.0%	 & 	Flits:1200	 & 	2100	 & 	800	 & 	38.0%	 & 	\\ 
103	 & 	4	 & 	6	 & 	6	 & 	129	 & 	10	 & 	20	 & 	29	 & 	6	 & 	9	 & 	31.0%	 & 	Flits:1200	 & 	2900	 & 	1500	 & 	51.0%	 & 	\\ 
104	 & 	5	 & 	6	 & 	6	 & 	129	 & 	10	 & 	17	 & 	29	 & 	6	 & 	12	 & 	41.0%	 & 	Flits:1200	 & 	2900	 & 	1800	 & 	62.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	23	 & 	1	 & 	19	 & 	23	 & 	3	 & 	4	 & 	17.0%	 & 	Flits:1200	 & 	2300	 & 	700	 & 	30.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	24	 & 	2	 & 	18	 & 	24	 & 	5	 & 	6	 & 	25.0%	 & 	Flits:1200	 & 	2400	 & 	1100	 & 	45.0%	 & 	\\ 
101	 & 	2	 & 	2	 & 	2	 & 	117	 & 	9	 & 	13	 & 	17	 & 	3	 & 	4	 & 	23.0%	 & 	Flits:1200	 & 	1700	 & 	700	 & 	41.0%	 & 	\\ 
104	 & 	5	 & 	5	 & 	5	 & 	226	 & 	18	 & 	13	 & 	26	 & 	5	 & 	13	 & 	50.0%	 & 	Flits:1200	 & 	2600	 & 	1800	 & 	69.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	22	 & 	1	 & 	16	 & 	22	 & 	5	 & 	6	 & 	27.0%	 & 	Flits:1200	 & 	2200	 & 	1100	 & 	50.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	28	 & 	2	 & 	20	 & 	28	 & 	7	 & 	8	 & 	28.0%	 & 	Flits:1200	 & 	2800	 & 	1500	 & 	53.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	24	 & 	2	 & 	22	 & 	24	 & 	2	 & 	2	 & 	8.0%	 & 	Flits:1200	 & 	2400	 & 	400	 & 	16.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	20	 & 	1	 & 	15	 & 	20	 & 	4	 & 	5	 & 	25.0%	 & 	Flits:1200	 & 	2000	 & 	900	 & 	45.0%	 & 	\\ 
104	 & 	5	 & 	104	 & 	5	 & 	124	 & 	10	 & 	15	 & 	24	 & 	5	 & 	9	 & 	37.0%	 & 	Flits:1200	 & 	2400	 & 	1400	 & 	58.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	23	 & 	1	 & 	17	 & 	23	 & 	3	 & 	6	 & 	26.0%	 & 	Flits:1200	 & 	2300	 & 	900	 & 	39.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	23	 & 	1	 & 	15	 & 	23	 & 	5	 & 	8	 & 	34.0%	 & 	Flits:1200	 & 	2300	 & 	1300	 & 	56.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	23	 & 	1	 & 	17	 & 	23	 & 	6	 & 	6	 & 	26.0%	 & 	Flits:1200	 & 	2300	 & 	1200	 & 	52.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	26	 & 	2	 & 	19	 & 	26	 & 	6	 & 	7	 & 	26.0%	 & 	Flits:1200	 & 	2600	 & 	1300	 & 	50.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	26	 & 	2	 & 	22	 & 	26	 & 	3	 & 	4	 & 	15.0%	 & 	Flits:1200	 & 	2600	 & 	700	 & 	26.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	120	 & 	10	 & 	14	 & 	20	 & 	5	 & 	6	 & 	30.0%	 & 	Flits:1200	 & 	2000	 & 	1100	 & 	55.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	25	 & 	2	 & 	17	 & 	25	 & 	5	 & 	8	 & 	32.0%	 & 	Flits:1200	 & 	2500	 & 	1300	 & 	52.0%	 & 	\\ 
6	 & 	6	 & 	6	 & 	6	 & 	29	 & 	2	 & 	19	 & 	29	 & 	7	 & 	10	 & 	34.0%	 & 	Flits:1200	 & 	2900	 & 	1700	 & 	58.0%	 & 	\\ 
102	 & 	3	 & 	6	 & 	6	 & 	126	 & 	10	 & 	12	 & 	26	 & 	6	 & 	14	 & 	53.0%	 & 	Flits:1200	 & 	2600	 & 	2000	 & 	76.0%	 & 	\\ 
