1003	 & 	4	 & 	1003	 & 	4	 & 	1019	 & 	113	 & 	11	 & 	19	 & 	6	 & 	8	 & 	42.0%	 & 	Flits:9000	 & 	19000	 & 	14000	 & 	73.0%	 & 	\\ 
1003	 & 	4	 & 	5	 & 	5	 & 	1023	 & 	113	 & 	17	 & 	23	 & 	4	 & 	6	 & 	26.0%	 & 	Flits:9000	 & 	23000	 & 	10000	 & 	43.0%	 & 	\\ 
1003	 & 	4	 & 	5	 & 	5	 & 	1025	 & 	113	 & 	14	 & 	25	 & 	8	 & 	11	 & 	44.0%	 & 	Flits:9000	 & 	25000	 & 	19000	 & 	76.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	12	 & 	19	 & 	4	 & 	7	 & 	36.0%	 & 	Flits:9000	 & 	19000	 & 	11000	 & 	57.0%	 & 	\\ 
1003	 & 	4	 & 	5	 & 	5	 & 	1025	 & 	113	 & 	17	 & 	25	 & 	5	 & 	8	 & 	32.0%	 & 	Flits:9000	 & 	25000	 & 	13000	 & 	52.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	25	 & 	2	 & 	15	 & 	25	 & 	6	 & 	10	 & 	40.0%	 & 	Flits:9000	 & 	25000	 & 	16000	 & 	64.0%	 & 	\\ 
1001	 & 	2	 & 	3	 & 	3	 & 	1019	 & 	113	 & 	11	 & 	19	 & 	7	 & 	8	 & 	42.0%	 & 	Flits:9000	 & 	19000	 & 	15000	 & 	78.0%	 & 	\\ 
1001	 & 	2	 & 	5	 & 	5	 & 	1023	 & 	113	 & 	16	 & 	23	 & 	5	 & 	7	 & 	30.0%	 & 	Flits:9000	 & 	23000	 & 	12000	 & 	52.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	2019	 & 	224	 & 	10	 & 	19	 & 	5	 & 	9	 & 	47.0%	 & 	Flits:9000	 & 	19000	 & 	14000	 & 	73.0%	 & 	\\ 
1001	 & 	2	 & 	5	 & 	5	 & 	1023	 & 	113	 & 	17	 & 	23	 & 	5	 & 	6	 & 	26.0%	 & 	Flits:9000	 & 	23000	 & 	11000	 & 	47.0%	 & 	\\ 
1003	 & 	4	 & 	5	 & 	5	 & 	1023	 & 	113	 & 	16	 & 	23	 & 	6	 & 	7	 & 	30.0%	 & 	Flits:9000	 & 	23000	 & 	13000	 & 	56.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	23	 & 	2	 & 	14	 & 	23	 & 	6	 & 	9	 & 	39.0%	 & 	Flits:9000	 & 	23000	 & 	15000	 & 	65.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	1019	 & 	113	 & 	11	 & 	19	 & 	4	 & 	8	 & 	42.0%	 & 	Flits:9000	 & 	19000	 & 	12000	 & 	63.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	15	 & 	19	 & 	4	 & 	4	 & 	21.0%	 & 	Flits:9000	 & 	19000	 & 	8000	 & 	42.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	3017	 & 	335	 & 	11	 & 	17	 & 	3	 & 	6	 & 	35.0%	 & 	Flits:9000	 & 	17000	 & 	9000	 & 	52.0%	 & 	\\ 
