105	 & 	6	 & 	105	 & 	6	 & 	151	 & 	10	 & 	16	 & 	51	 & 	13	 & 	35	 & 	68.0%	 & 	Flits:1030	 & 	3470	 & 	3260	 & 	93.0%	 & 	\\ 
105	 & 	6	 & 	105	 & 	6	 & 	141	 & 	9	 & 	15	 & 	41	 & 	11	 & 	26	 & 	63.0%	 & 	Flits:1030	 & 	2150	 & 	2110	 & 	98.0%	 & 	\\ 
102	 & 	3	 & 	7	 & 	7	 & 	145	 & 	9	 & 	18	 & 	45	 & 	14	 & 	27	 & 	60.0%	 & 	Flits:1030	 & 	3210	 & 	2810	 & 	87.0%	 & 	\\ 
12	 & 	3	 & 	6	 & 	6	 & 	50	 & 	3	 & 	17	 & 	40	 & 	13	 & 	23	 & 	57.0%	 & 	Flits:1030	 & 	3240	 & 	2840	 & 	87.0%	 & 	\\ 
105	 & 	6	 & 	105	 & 	6	 & 	154	 & 	10	 & 	17	 & 	44	 & 	10	 & 	27	 & 	61.0%	 & 	Flits:1030	 & 	3170	 & 	2490	 & 	78.0%	 & 	\\ 
7	 & 	7	 & 	7	 & 	7	 & 	54	 & 	3	 & 	18	 & 	54	 & 	15	 & 	36	 & 	66.0%	 & 	Flits:1030	 & 	4020	 & 	3720	 & 	92.0%	 & 	\\ 
14	 & 	5	 & 	7	 & 	7	 & 	56	 & 	3	 & 	19	 & 	46	 & 	14	 & 	27	 & 	58.0%	 & 	Flits:1030	 & 	3480	 & 	3070	 & 	88.0%	 & 	\\ 
14	 & 	5	 & 	6	 & 	6	 & 	62	 & 	4	 & 	17	 & 	42	 & 	12	 & 	25	 & 	59.0%	 & 	Flits:1030	 & 	2880	 & 	2560	 & 	88.0%	 & 	\\ 
16	 & 	7	 & 	16	 & 	7	 & 	67	 & 	4	 & 	18	 & 	47	 & 	13	 & 	29	 & 	61.0%	 & 	Flits:1030	 & 	3180	 & 	2950	 & 	92.0%	 & 	\\ 
14	 & 	5	 & 	5	 & 	5	 & 	50	 & 	3	 & 	17	 & 	40	 & 	10	 & 	23	 & 	57.0%	 & 	Flits:1030	 & 	2660	 & 	2410	 & 	90.0%	 & 	\\ 
12	 & 	3	 & 	6	 & 	6	 & 	51	 & 	3	 & 	18	 & 	41	 & 	13	 & 	23	 & 	56.0%	 & 	Flits:1030	 & 	3250	 & 	2930	 & 	90.0%	 & 	\\ 
102	 & 	3	 & 	15	 & 	6	 & 	164	 & 	10	 & 	16	 & 	44	 & 	11	 & 	28	 & 	63.0%	 & 	Flits:1030	 & 	3170	 & 	2760	 & 	87.0%	 & 	\\ 
103	 & 	4	 & 	5	 & 	5	 & 	157	 & 	10	 & 	16	 & 	37	 & 	13	 & 	21	 & 	56.0%	 & 	Flits:1030	 & 	2430	 & 	2130	 & 	87.0%	 & 	\\ 
105	 & 	6	 & 	105	 & 	6	 & 	149	 & 	9	 & 	18	 & 	39	 & 	8	 & 	21	 & 	53.0%	 & 	Flits:1030	 & 	2600	 & 	1690	 & 	65.0%	 & 	\\ 
105	 & 	6	 & 	105	 & 	6	 & 	144	 & 	9	 & 	15	 & 	44	 & 	11	 & 	29	 & 	65.0%	 & 	Flits:1030	 & 	2450	 & 	2410	 & 	98.0%	 & 	\\ 
105	 & 	6	 & 	105	 & 	6	 & 	159	 & 	10	 & 	19	 & 	49	 & 	14	 & 	30	 & 	61.0%	 & 	Flits:1030	 & 	3350	 & 	3030	 & 	90.0%	 & 	\\ 
13	 & 	4	 & 	5	 & 	5	 & 	60	 & 	4	 & 	16	 & 	40	 & 	13	 & 	24	 & 	60.0%	 & 	Flits:1030	 & 	2730	 & 	2430	 & 	89.0%	 & 	\\ 
102	 & 	3	 & 	7	 & 	7	 & 	145	 & 	9	 & 	18	 & 	45	 & 	14	 & 	27	 & 	60.0%	 & 	Flits:1030	 & 	3210	 & 	2810	 & 	87.0%	 & 	\\ 
102	 & 	3	 & 	15	 & 	6	 & 	164	 & 	10	 & 	16	 & 	44	 & 	11	 & 	28	 & 	63.0%	 & 	Flits:1030	 & 	3170	 & 	2760	 & 	87.0%	 & 	\\ 
105	 & 	6	 & 	105	 & 	6	 & 	145	 & 	9	 & 	17	 & 	45	 & 	11	 & 	28	 & 	62.0%	 & 	Flits:1030	 & 	3210	 & 	2630	 & 	81.0%	 & 	\\ 
15	 & 	6	 & 	15	 & 	6	 & 	51	 & 	3	 & 	19	 & 	41	 & 	11	 & 	22	 & 	53.0%	 & 	Flits:1030	 & 	3050	 & 	2340	 & 	76.0%	 & 	\\ 
16	 & 	7	 & 	16	 & 	7	 & 	67	 & 	4	 & 	18	 & 	47	 & 	13	 & 	29	 & 	61.0%	 & 	Flits:1030	 & 	3180	 & 	2950	 & 	92.0%	 & 	\\ 
105	 & 	6	 & 	105	 & 	6	 & 	170	 & 	11	 & 	17	 & 	50	 & 	11	 & 	33	 & 	66.0%	 & 	Flits:1030	 & 	3500	 & 	2990	 & 	85.0%	 & 	\\ 
102	 & 	3	 & 	5	 & 	5	 & 	140	 & 	9	 & 	17	 & 	40	 & 	12	 & 	23	 & 	57.0%	 & 	Flits:1030	 & 	2660	 & 	2250	 & 	84.0%	 & 	\\ 
15	 & 	6	 & 	15	 & 	6	 & 	54	 & 	3	 & 	16	 & 	44	 & 	13	 & 	28	 & 	63.0%	 & 	Flits:1030	 & 	3110	 & 	2830	 & 	90.0%	 & 	\\ 
102	 & 	3	 & 	15	 & 	6	 & 	164	 & 	10	 & 	16	 & 	44	 & 	11	 & 	28	 & 	63.0%	 & 	Flits:1030	 & 	3170	 & 	2760	 & 	87.0%	 & 	\\ 
102	 & 	3	 & 	6	 & 	6	 & 	146	 & 	9	 & 	17	 & 	36	 & 	10	 & 	19	 & 	52.0%	 & 	Flits:1030	 & 	2390	 & 	1780	 & 	74.0%	 & 	\\ 
102	 & 	3	 & 	6	 & 	6	 & 	145	 & 	9	 & 	16	 & 	35	 & 	10	 & 	19	 & 	54.0%	 & 	Flits:1030	 & 	2560	 & 	1960	 & 	76.0%	 & 	\\ 
102	 & 	3	 & 	16	 & 	7	 & 	153	 & 	10	 & 	18	 & 	43	 & 	14	 & 	25	 & 	58.0%	 & 	Flits:1030	 & 	3020	 & 	2800	 & 	92.0%	 & 	\\ 
