105	 & 	6	 & 	6	 & 	6	 & 	266	 & 	17	 & 	26	 & 	66	 & 	20	 & 	40	 & 	60.0%	 & 	Flits:1500	 & 	6600	 & 	6000	 & 	90.0%	 & 	\\ 
107	 & 	8	 & 	107	 & 	8	 & 	161	 & 	13	 & 	29	 & 	61	 & 	20	 & 	32	 & 	52.0%	 & 	Flits:1200	 & 	6100	 & 	5200	 & 	85.0%	 & 	\\ 
6	 & 	6	 & 	6	 & 	6	 & 	46	 & 	5	 & 	27	 & 	46	 & 	13	 & 	19	 & 	41.0%	 & 	Flits:9000	 & 	46000	 & 	32000	 & 	69.0%	 & 	\\ 
620	 & 	12	 & 	620	 & 	12	 & 	1518	 & 	108	 & 	50	 & 	78	 & 	19	 & 	28	 & 	35.0%	 & 	Flits:3100	 & 	16620	 & 	10330	 & 	62.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	45	 & 	5	 & 	26	 & 	45	 & 	12	 & 	19	 & 	42.0%	 & 	Flits:18000	 & 	90000	 & 	62000	 & 	68.0%	 & 	\\ 
8	 & 	8	 & 	8	 & 	8	 & 	66	 & 	4	 & 	52	 & 	66	 & 	12	 & 	14	 & 	21.0%	 & 	Flits:1030	 & 	4000	 & 	1790	 & 	44.0%	 & 	\\ 
105	 & 	6	 & 	6	 & 	6	 & 	266	 & 	17	 & 	26	 & 	66	 & 	20	 & 	40	 & 	60.0%	 & 	Flits:1500	 & 	6600	 & 	6000	 & 	90.0%	 & 	\\ 
620	 & 	12	 & 	620	 & 	12	 & 	1518	 & 	108	 & 	50	 & 	78	 & 	19	 & 	28	 & 	35.0%	 & 	Flits:3100	 & 	16620	 & 	10330	 & 	62.0%	 & 	\\ 
107	 & 	8	 & 	107	 & 	8	 & 	161	 & 	13	 & 	29	 & 	61	 & 	20	 & 	32	 & 	52.0%	 & 	Flits:1200	 & 	6100	 & 	5200	 & 	85.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	45	 & 	5	 & 	26	 & 	45	 & 	12	 & 	19	 & 	42.0%	 & 	Flits:18000	 & 	90000	 & 	62000	 & 	68.0%	 & 	\\ 
6	 & 	6	 & 	6	 & 	6	 & 	46	 & 	5	 & 	27	 & 	46	 & 	13	 & 	19	 & 	41.0%	 & 	Flits:9000	 & 	46000	 & 	32000	 & 	69.0%	 & 	\\ 
8	 & 	8	 & 	8	 & 	8	 & 	66	 & 	4	 & 	52	 & 	66	 & 	12	 & 	14	 & 	21.0%	 & 	Flits:1030	 & 	4000	 & 	1790	 & 	44.0%	 & 	\\ 
